,author,author_id
350,Giada De Laurentiis,-6382639538035588583
351,Tyler Florence,-1346591201318015816
352,Tyler Florence,-1346591201318015816
353,Tyler Florence,-1346591201318015816
354,Steven D. Levitt,-5318180978114966274
355,Steven D. Levitt,-5318180978114966274
356,Steven D. Levitt,-5318180978114966274
357,Barry Eisler,1404722106572449744
358,Yann Martel,-1410075231154258769
359,Yann Martel,-1410075231154258769
360,Robert Templer,9175954903805841422
361,James Frey,-7478067788134827136
362,Python Bonkers,7592100341670964542
363,James Pinocchio,4821486204439002324
364,James M. Kouzes,-1207089161495129933
365,Donald T. Phillips,6453546017613684848
366,Gary Yukl,-2317009984100955785
367,Rudolph W. Giuliani,-1558126998906227803
368,John Gray,-7588184607902441640
369,John Gray,-7588184607902441640
370,John Gray,-7588184607902441640
371,Ron  Louis,-4016805162565095634
372,Jean M. Auel,-5856834063588049587
373,Jean M. Auel,-5856834063588049587
374,Michael   Lewis,-8462331984262552569
375,Doug Walsh,7618657065484212224
376,Robert Greene,-132410091536114468
377,Steven Pressfield,562467821306938395
378,Margaret Weis,8481983432315288920
379,Thomas Harlan,-7199927900824746202
380,Steven Pressfield,562467821306938395
381,Steven Pressfield,562467821306938395
382,Steven Pressfield,562467821306938395
383,Steven Pressfield,562467821306938395
384,Stephen J. Rosen,-7348372597496468928
385,David J. Danelo,9196363565177413041
386,Plato,-6242272934198052764
387,Plato,-6242272934198052764
388,Plato,-6242272934198052764
389,Plato,-6242272934198052764
390,Josef Pieper,-8166717044858790652
391,Plato,-6242272934198052764
392,Plato,-6242272934198052764
393,Plato,-6242272934198052764
394,Plato,-6242272934198052764
395,Herodotus,5181787618549128483
396,Herodotus,5181787618549128483
397,Herodotus,5181787618549128483
398,Herodotus,5181787618549128483
399,Herodotus,5181787618549128483
400,Herodotus,5181787618549128483
401,Herodotus,5181787618549128483
402,Herodotus,5181787618549128483
403,Homer,2508115560618025833
404,Homer,2508115560618025833
405,Homer,2508115560618025833
406,Homer,2508115560618025833
407,Homer,2508115560618025833
408,Homer,2508115560618025833
409,Homer,2508115560618025833
