author;author_id
Éric-Emmanuel Schmitt;52974674,00
Sonallah Ibrahim;43965990,00
Sarah Dessen;50478438,00
Dale Brown;33353947,00
Chris  Williams;17477285,00
Aidan Hartley;58522043,00
Anderson Cooper;60285553,00
Michael Herr;27865833,00
Bentley Little;1728156,00
Robert D. Siegel;75241886,00
Ian Whybrow;56088953,00
Joanne Rocklin;35395715,00
Anthony Loyd;89053188,00
Anthony Shadid;4993179,00
Suketu Mehta;49100341,00
Andrew X. Pham;30170698,00
Chanrithy Him;21177367,00
Loung Ung;50568542,00
Ray Bradbury;70048877,00
Kelly McGrath Vlcek;69107830,00
Neil Gaiman;85808686,00
Jon Meacham;493233,00
Stephen Oppenheimer;2464589,00
Yona Zeldis McDonough;79234880,00
Harrison Edward Livingstone;25813791,00
Robert Dallek;95523403,00
Augusten Burroughs;40854069,00
M. Scott Peck;66842675,00
John Irving;30936136,00
Atul Gawande;73289272,00
Judith Viorst;47904903,00
Helen Fielding;21151853,00
Carlos Ruiz Zafón;90247977,00
Ruby K. Payne;92491139,00
David A. Black;71622901,00
E.L. Konigsburg;81387708,00
Sylvia Engdahl;25232683,00
Jonathan Safran Foer;76933315,00
Matt Ridley;36378509,00
David W. Mount;41846961,00
James Shreeve;66226382,00
Glen David Gold;83585365,00
Sandra Boynton;57780569,00
Doreen Cronin;71623079,00
Lisa Wheeler;97779906,00
Charles A. Peek;26865893,00
Joseph Heller;31336332,00
Liza Dalby;65364764,00
New Scientist;58270329,00
Mark Bailey;11979549,00
Sven Regener;58311084,00
Carlene Fredericka Brennen;30872542,00
F. Scott Fitzgerald;66026782,00
Kathleen Parkinson;23998643,00
Kate Maurer;33511439,00
Noah Gordon;1084262,00
Noah Eli Gordon;82623606,00
Paula S. Fass;28727793,00
Steven L. Layne;85580389,00
Scott   Cunningham;39130151,00
Time-Life Books;7318722,00
George Lucas;350333,00
Robert L. O'Connell;20596929,00
John Warry;41011032,00
Dava Sobel;91211944,00
Rebecca Aberg;43279807,00
William Andrewes;64633362,00
Gavin Menzies;3621336,00
Kristi Gold;11539827,00
Nathaniel Philbrick;88213023,00
Lerone Bennett Jr.;48947432,00
Salman Rushdie;34279675,00
Steve McConnell;78390168,00
Dale Carnegie;72879912,00
Alice   Miller;58630741,00
Spencer Johnson;90115909,00
W. Chan Kim;4120077,00
Joseph Conrad;44118619,00
Frank McCourt;41562463,00
Jerome K. Jerome;15438562,00
Haruki Murakami;929665,00
Fyodor Dostoyevsky;21160518,00
James Lamar Roberts;91741878,00
Peter Menzel;12417061,00
Eric Carle;72649663,00
Don    Wood;7061451,00
Elinor J. Pinczes;58274358,00
Amitav Ghosh;63415375,00
Geneen Roth;53738309,00
Dave Eggers;82815249,00
Lisa McCourt;52952276,00
Geraldine Brooks;59383388,00
Tanya Remer Altmann;4235444,00
Stephen King;42699207,00
Kurt Vonnegut Jr.;4653267,00
Harold Bloom;50260272,00
Anita Diamant;91798546,00
Sandra Hack Polaski;60718568,00
Ann Finding;35003701,00
Christopher   Clark;97290650,00
Jean Rabe;70774921,00
Antony Beevor;52596473,00
Ian McEwan;88865864,00
Alma Flor Ada;89727994,00
Ken Follett;40338354,00
Marcia Angell;44525712,00
Yukito Kishiro;480661,00
John E. Upledger;93051647,00
Julia Child;82379229,00
Margaret Atwood;94380311,00
Barron's;59005247,00
Aldous Huxley;48658851,00
Elspeth Huxley;51698413,00
Lauren Weisberger;13692409,00
Julie Mullaney;56691654,00
John Knowles;42495346,00
Anna Quindlen;56382952,00
Kaye Gibbons;18424184,00
Alice Hoffman;39286336,00
Maya Angelou;36281188,00
Jacquelyn Mitchard;64907720,00
Lalita Tademy;69234463,00
Billie Letts;23735659,00
Katherine E. Krohn;34898686,00
Christina Schwarz;56281772,00
Ann-Marie MacDonald;27936100,00
Pearl Cleage;22221874,00
Sue Miller;42472637,00
Melinda Haynes;53420638,00
Edwidge Danticat;6808554,00
Jane Hamilton;11965144,00
Elizabeth Berg;17452510,00
Anita Shreve;87877012,00
Maeve Binchy;13079063,00
Ernest J. Gaines;15230151,00
Toni Morrison;6312291,00
Bill Cosby;14090411,00
Wally Lamb;62576196,00
Joyce Carol Oates;44943467,00
Rohinton Mistry;46083910,00
Janet Fitch;9309178,00
Alan Paton;12940632,00
Barbara Kingsolver;99576927,00
Paul Kengor;1821780,00
Dinesh D'Souza;36892964,00
